time,VEOG,HEOG,FZ,CZ,PZ,F7,F8,T5,T6,A2,T3,T4,F3,F4,C3,C4,AF3,AF4,FC3,FC4,CP3,CP4,FT7,FT8,P3,P4,PO7,PO8,P5,P6,OZ,Midline,LF,RF,LC,RC,LP,RP,LF_5s,RF_5s,LP_5s,RP_5s,ROI
10,-0.8417,0.3725,-2.5224,-2.573,-1.9232,-1.6387,-2.1798,-1.0159,-1.7582,-0.546,-0.9622,-1.893,-2.1948,-2.7438,-1.8523,-2.421,-2.1402,-2.3079,-1.8947,-2.466,-1.6478,-2.2734,-1.1186,-1.8284,-1.4105,-1.9139,-0.1125,-0.7563,-0.3216,-1.0845,-0.5871,-2.3396,-1.7731,-2.265,-1.5892,-2.2634,-0.7151,-1.3782,-1.7974,-2.3052,-0.9017,-1.5573,-1.9318
15,-0.8099,0.3965,-2.4856,-2.5174,-1.8728,-1.6194,-2.2046,-0.9502,-1.7433,-0.5624,-0.8776,-1.8704,-2.1575,-2.7447,-1.7864,-2.3925,-2.1342,-2.3226,-1.8375,-2.4514,-1.5919,-2.26,-1.0659,-1.8278,-1.3686,-1.9088,-0.1021,-0.7727,-0.2859,-1.0927,-0.5708,-2.2919,-1.7442,-2.2749,-1.5234,-2.2436,-0.6767,-1.3794,-1.7629,-2.3102,-0.8598,-1.5555,-1.8844
20,-0.7714,0.4176,-2.4329,-2.4458,-1.8081,-1.5931,-2.2162,-0.8765,-1.7204,-0.5766,-0.7882,-1.8367,-2.1084,-2.7261,-1.7076,-2.3472,-2.1148,-2.3189,-1.7687,-2.4202,-1.5232,-2.2329,-1.0104,-1.8145,-1.3168,-1.8947,-0.0893,-0.7856,-0.2486,-1.0991,-0.5492,-2.2289,-1.7067,-2.2689,-1.4469,-2.2093,-0.6328,-1.3749,-1.7191,-2.2992,-0.8109,-1.5465,-1.8237
25,-0.7248,0.4353,-2.3659,-2.3607,-1.7314,-1.5612,-2.2115,-0.7978,-1.6918,-0.5885,-0.6953,-1.7951,-2.0467,-2.6903,-1.6171,-2.2896,-2.0826,-2.2987,-1.6882,-2.3751,-1.4434,-2.1941,-0.9522,-1.7881,-1.2572,-1.8729,-0.0759,-0.7951,-0.2115,-1.1034,-0.524,-2.1527,-1.6607,-2.2471,-1.361,-2.1635,-0.5856,-1.3658,-1.6662,-2.2727,-0.7572,-1.5315,-1.7522
30,-0.6686,0.4476,-2.2881,-2.2659,-1.6455,-1.5264,-2.1914,-0.718,-1.6609,-0.5995,-0.6023,-1.7484,-1.9735,-2.6406,-1.5176,-2.2251,-2.0399,-2.2658,-1.598,-2.3201,-1.3559,-2.1472,-0.8918,-1.7505,-1.1929,-1.8455,-0.0647,-0.8031,-0.1762,-1.106,-0.4978,-2.0665,-1.6079,-2.2121,-1.2685,-2.1102,-0.5379,-1.3539,-1.6059,-2.2337,-0.7015,-1.5126,-1.6733
35,-0.6034,0.4555,-2.2018,-2.1639,-1.5524,-1.4892,-2.1597,-0.6396,-1.628,-0.6118,-0.5114,-1.6963,-1.8911,-2.5793,-1.412,-2.1559,-1.9882,-2.2226,-1.5012,-2.2573,-1.2641,-2.094,-0.8292,-1.7056,-1.1266,-1.8141,-0.0579,-0.812,-0.1444,-1.1078,-0.473,-1.9727,-1.5494,-2.1668,-1.1722,-2.0509,-0.4921,-1.3404,-1.5398,-2.1849,-0.6465,-1.4912,-1.5896
40,-0.5313,0.4619,-2.1067,-2.0549,-1.4534,-1.446,-2.1192,-0.564,-1.5922,-0.6256,-0.4224,-1.6375,-1.8014,-2.5083,-1.3034,-2.082,-1.9288,-2.1694,-1.4006,-2.1867,-1.1707,-2.0351,-0.7634,-1.6561,-1.061,-1.7802,-0.0573,-0.8255,-0.1177,-1.111,-0.4535,-1.8717,-1.4849,-2.1132,-1.0743,-1.9853,-0.45,-1.3272,-1.468,-2.1279,-0.5942,-1.4688,-1.5026
45,-0.4539,0.4681,-2.0008,-1.9371,-1.3496,-1.3925,-2.0682,-0.4917,-1.5527,-0.6395,-0.3338,-1.572,-1.7044,-2.4279,-1.1931,-2.0013,-1.8619,-2.1052,-1.2973,-2.1075,-1.0775,-1.9697,-0.6946,-1.6007,-0.9979,-1.7452,-0.0652,-0.8474,-0.0979,-1.1183,-0.4429,-1.7625,-1.4134,-2.0505,-0.9754,-1.9126,-0.4132,-1.3159,-1.3901,-2.0619,-0.546,-1.4467,-1.4128
50,-0.3726,0.4753,-1.882,-1.8089,-1.2413,-1.3275,-2.0046,-0.4221,-1.509,-0.6521,-0.244,-1.5009,-1.5988,-2.3371,-1.0821,-1.9117,-1.7862,-2.0288,-1.1913,-2.0184,-0.9851,-1.8967,-0.6227,-1.5361,-0.9379,-1.7091,-0.0815,-0.881,-0.0847,-1.1317,-0.4429,-1.644,-1.3338,-1.9767,-0.8756,-1.8319,-0.3816,-1.3077,-1.3053,-1.985,-0.5023,-1.4255,-1.32
55,-0.2883,0.4836,-1.7515,-1.6706,-1.1291,-1.2539,-1.9309,-0.3557,-1.4615,-0.663,-0.1552,-1.4258,-1.4866,-2.2361,-0.973,-1.8134,-1.7008,-1.9417,-1.0849,-1.9203,-0.8946,-1.8167,-0.5473,-1.4618,-0.8801,-1.671,-0.1031,-0.9271,-0.0766,-1.1511,-0.4523,-1.5171,-1.2471,-1.8926,-0.7769,-1.7441,-0.3539,-1.3027,-1.2147,-1.8982,-0.462,-1.4055,-1.2244
60,-0.2037,0.4899,-1.6136,-1.525,-1.0136,-1.1759,-1.8526,-0.2935,-1.4107,-0.6726,-0.0718,-1.3488,-1.3728,-2.1273,-0.8694,-1.7084,-1.6079,-1.848,-0.9824,-1.8156,-0.8072,-1.7309,-0.4707,-1.381,-0.8225,-1.6287,-0.1244,-0.981,-0.0705,-1.1729,-0.4653,-1.3841,-1.1568,-1.8022,-0.6827,-1.651,-0.3277,-1.2983,-1.1219,-1.8049,-0.4236,-1.3848,-1.1269
65,-0.1234,0.4928,-1.4745,-1.3767,-0.8951,-1.0967,-1.775,-0.2352,-1.3586,-0.682,0.0035,-1.272,-1.2624,-2.0155,-0.7728,-1.6011,-1.5111,-1.7538,-0.8858,-1.7083,-0.7233,-1.6418,-0.3962,-1.2989,-0.7623,-1.5792,-0.1409,-1.0322,-0.0627,-1.1912,-0.4729,-1.2488,-1.0666,-1.7108,-0.5946,-1.5558,-0.3003,-1.2903,-1.0304,-1.7103,-0.3849,-1.3606,-1.0284
70,-0.0503,0.4951,-1.3409,-1.2317,-0.7748,-1.0181,-1.702,-0.1793,-1.3084,-0.6924,0.0702,-1.1987,-1.1595,-1.9091,-0.6838,-1.4981,-1.4152,-1.6642,-0.7963,-1.6053,-0.6427,-1.553,-0.3254,-1.2203,-0.6981,-1.5216,-0.1508,-1.0709,-0.0506,-1.2021,-0.4677,-1.1158,-0.9795,-1.6239,-0.5132,-1.4638,-0.2697,-1.2757,-0.9429,-1.6202,-0.3443,-1.3312,-0.9308
