time,VEOG,HEOG,FZ,CZ,PZ,F7,F8,T5,T6,A2,T3,T4,F3,F4,C3,C4,AF3,AF4,FC3,FC4,CP3,CP4,FT7,FT8,P3,P4,PO7,PO8,P5,P6,OZ,Midline,LF,RF,LC,RC,LP,RP,LF_5s,RF_5s,LP_5s,RP_5s,ROI
-15,-0.6454,0.1176,-1.7947,-1.9135,-1.4156,-1.0066,-1.2246,-0.7331,-1.0458,-0.1435,-0.7909,-1.0995,-1.4845,-1.8009,-1.345,-1.5381,-1.2674,-1.387,-1.3433,-1.6303,-1.1983,-1.3902,-0.8199,-1.0311,-1.0031,-1.2009,0.0252,-0.3418,-0.1788,-0.5775,-0.2885,-1.7079,-1.1446,-1.3609,-1.1694,-1.4145,-0.4725,-0.7915,-1.1843,-1.4148,-0.6176,-0.9112,-1.3697
-10,-0.6242,0.1279,-1.764,-1.9232,-1.4538,-0.9604,-1.1996,-0.7321,-1.0864,-0.1582,-0.7506,-1.1137,-1.4503,-1.7901,-1.3308,-1.5677,-1.2316,-1.3629,-1.3213,-1.646,-1.2104,-1.4425,-0.7778,-1.0153,-1.0336,-1.261,-0.0132,-0.3912,-0.2015,-0.6231,-0.3191,-1.7137,-1.1051,-1.342,-1.1533,-1.4425,-0.4951,-0.8404,-1.1483,-1.4028,-0.6382,-0.9608,-1.3905
-5,-0.5998,0.1309,-1.7335,-1.9217,-1.4778,-0.9211,-1.1722,-0.7252,-1.1168,-0.1688,-0.7125,-1.1192,-1.4185,-1.7771,-1.3132,-1.5867,-1.1994,-1.3405,-1.2994,-1.6559,-1.215,-1.483,-0.7417,-0.997,-1.054,-1.3096,-0.0429,-0.432,-0.2185,-0.6608,-0.3417,-1.711,-1.0702,-1.3217,-1.135,-1.4612,-0.5101,-0.8798,-1.116,-1.3885,-0.6511,-1.0005,-1.4012
0,-0.5749,0.1256,-1.7042,-1.909,-1.4863,-0.8919,-1.1445,-0.713,-1.1369,-0.1795,-0.6773,-1.1144,-1.3893,-1.7619,-1.2921,-1.5943,-1.1716,-1.3182,-1.2774,-1.6589,-1.2118,-1.5097,-0.712,-0.9756,-1.0638,-1.3453,-0.0652,-0.4629,-0.2302,-0.6908,-0.3544,-1.6998,-1.0412,-1.3001,-1.1146,-1.4693,-0.518,-0.909,-1.0884,-1.3718,-0.6568,-1.0291,-1.4015
5,-0.55,0.1123,-1.6766,-1.8855,-1.4793,-0.874,-1.1192,-0.6965,-1.1458,-0.1925,-0.6449,-1.0993,-1.3631,-1.7437,-1.2676,-1.5905,-1.1481,-1.2957,-1.2549,-1.6539,-1.2008,-1.5212,-0.6874,-0.9502,-1.0633,-1.3672,-0.0814,-0.4831,-0.237,-0.7127,-0.3566,-1.6805,-1.0182,-1.2772,-1.0921,-1.4662,-0.5196,-0.9272,-1.0655,-1.3525,-0.6558,-1.046,-1.3916
10,-0.5235,0.0939,-1.6509,-1.8527,-1.4568,-0.8666,-1.0982,-0.6762,-1.1435,-0.2057,-0.6143,-1.0757,-1.3401,-1.7224,-1.2408,-1.5761,-1.1287,-1.2745,-1.2324,-1.6414,-1.1823,-1.517,-0.6655,-0.9228,-1.0528,-1.3743,-0.0911,-0.4927,-0.2385,-0.7261,-0.3476,-1.6535,-1.0002,-1.2545,-1.0675,-1.4526,-0.5146,-0.9342,-1.0466,-1.3319,-0.6482,-1.0507,-1.372
15,-0.4944,0.0753,-1.6287,-1.8129,-1.4187,-0.8656,-1.0818,-0.6525,-1.1311,-0.2155,-0.5855,-1.0477,-1.3206,-1.7008,-1.2135,-1.5537,-1.1136,-1.2571,-1.2113,-1.6242,-1.1567,-1.4982,-0.645,-0.8975,-1.0327,-1.3667,-0.0943,-0.4927,-0.234,-0.7314,-0.328,-1.6201,-0.9862,-1.2343,-1.0418,-1.4309,-0.5034,-0.9305,-1.0312,-1.3123,-0.634,-1.044,-1.344
20,-0.4646,0.0622,-1.6118,-1.7679,-1.3655,-0.8649,-1.0695,-0.6257,-1.111,-0.2211,-0.558,-1.0193,-1.3051,-1.6828,-1.1864,-1.5255,-1.1018,-1.2456,-1.1926,-1.6062,-1.1241,-1.4669,-0.6251,-0.8764,-1.0035,-1.3456,-0.0916,-0.4854,-0.2233,-0.7305,-0.2983,-1.5817,-0.9742,-1.2186,-1.0153,-1.4045,-0.486,-0.9181,-1.0179,-1.2961,-0.6137,-1.0279,-1.3087
25,-0.4376,0.0567,-1.5998,-1.7179,-1.2984,-0.8602,-1.0604,-0.5953,-1.0858,-0.2262,-0.53,-0.992,-1.2919,-1.6694,-1.1584,-1.4924,-1.0917,-1.2393,-1.1753,-1.588,-1.085,-1.4252,-0.6048,-0.858,-0.9664,-1.3134,-0.0835,-0.4738,-0.2071,-0.7251,-0.2586,-1.5387,-0.9621,-1.2068,-0.9871,-1.3744,-0.4631,-0.8995,-1.0048,-1.283,-0.5875,-1.0046,-1.2666
30,-0.4145,0.0569,-1.5894,-1.6627,-1.2208,-0.8504,-1.0529,-0.5618,-1.0572,-0.2346,-0.4998,-0.9645,-1.2772,-1.6581,-1.1284,-1.4537,-1.081,-1.234,-1.1569,-1.5672,-1.0406,-1.3755,-0.5845,-0.8386,-0.9238,-1.2736,-0.0728,-0.4624,-0.188,-0.7178,-0.2134,-1.491,-0.9483,-1.1959,-0.9564,-1.3402,-0.4366,-0.8777,-0.99,-1.2702,-0.5574,-0.9773,-1.2189
