         worklat,       value,     chindex,     chlabel,        bini,                         binlabel,grammar,word_type,ERPset,ID,Accuracy,subjectID,reading_speed,comprehension_score,Experiment,Sex,Age,Years of Formal Education,Occupation,Vividness,Control
  [300.0  500.0],0.481,2,        HEOG,2,incorrect_Verb_in_correct_Pronoun,bad,verb,47,47,0.88,s47L5,247,35,APS_Silent,Male,18,12,Student,80,73
  [300.0  500.0],2.015,2,        HEOG,2,incorrect_Verb_in_correct_Pronoun,bad,verb,48,48,0.88,s48l11,247,29,APS_Silent,Male,18,12,Student,71,67
  [300.0  500.0],1.336,2,        HEOG,2,incorrect_Verb_in_correct_Pronoun,bad,verb,49,49,0.89,s49L10,223,32,APS_Silent,Male,19,12,Student,92,87
  [300.0  500.0],-0.141,2,        HEOG,2,incorrect_Verb_in_correct_Pronoun,bad,verb,51,51,0.95,s51L12,364,35,APS_Silent,Female,19,13,Student,80,78
  [300.0  500.0],0.556,2,        HEOG,2,incorrect_Verb_in_correct_Pronoun,bad,verb,52,52,0.91,S52L5,179,26,APS_Silent,Female,22,17,Student,61,62
  [300.0  500.0],0.07,2,        HEOG,2,incorrect_Verb_in_correct_Pronoun,bad,verb,61,61,0.86,S61,364,27,APS_Silent,Female,18,12,Student,79,82
  [300.0  500.0],2.959,2,        HEOG,2,incorrect_Verb_in_correct_Pronoun,bad,verb,62,62,0.9,S62L2,179,34,APS_Silent,Male,20,14,Student,96,92
  [300.0  500.0],-2.332,2,        HEOG,2,incorrect_Verb_in_correct_Pronoun,bad,verb,63,63,0.9,S63L3,223,28,APS_Silent,Female,19,12,Student,63,63
  [300.0  500.0],2.401,2,        HEOG,2,incorrect_Verb_in_correct_Pronoun,bad,verb,64,64,0.93,S64L4,137,33,APS_Silent,Female,18,12.5,Student,52,65
  [300.0  500.0],1.505,2,        HEOG,2,incorrect_Verb_in_correct_Pronoun,bad,verb,65,65,0.9,S65L5,232,35,APS_Silent,Male,27,12,Student,52,64
  [300.0  500.0],0.258,2,        HEOG,2,incorrect_Verb_in_correct_Pronoun,bad,verb,66,66,0.9,S66L6,364,33,APS_Silent,Female,19,13.5,Student,62,73
  [300.0  500.0],1.417,2,        HEOG,2,incorrect_Verb_in_correct_Pronoun,bad,verb,67,67,0.91,S67L7,179,25,APS_Silent,Male,21,14.5,Student,92,88
  [300.0  500.0],-0.14,2,        HEOG,2,incorrect_Verb_in_correct_Pronoun,bad,verb,68,68,0.89,s68l8,279,32,APS_Silent,Male,18,12.5,Student,86,76
  [300.0  500.0],-1.265,2,        HEOG,2,incorrect_Verb_in_correct_Pronoun,bad,verb,70,70,0.93,S70L10,232,32,APS_Silent,Male,20,15,Student,49,47
  [300.0  500.0],0.865,2,        HEOG,2,incorrect_Verb_in_correct_Pronoun,bad,verb,72,72,0.91,S72L12,123,23,APS_Silent,Male,20,13,Student,76,76
  [300.0  500.0],4.202,3,          FZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,1,1,0.92,s1L1,211,24,APS_Silent,Female,19,14,Student,74,68
  [300.0  500.0],2.961,3,          FZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,2,2,0.96,S2L2,195,32,APS_Silent,Female,18,12,Student,88,87
  [300.0  500.0],2.994,3,          FZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,3,3,0.93,S3L3,223,25,APS_Silent,Female,21,14,Student,66,63
  [300.0  500.0],0.645,3,          FZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,4,4,0.83,S4L4,211,31,APS_Silent,Male,18,12,Student,61,67
  [300.0  500.0],2.184,3,          FZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,6,6,0.88,S6L6,232,29,APS_Silent,Female,18,13,Student,67,70
  [300.0  500.0],1.599,3,          FZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,7,7,0.92,S7L7,247,31,APS_Silent,Female,18,12,Student,45,42
  [300.0  500.0],3.81,3,          FZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,8,8,0.94,S8L8,279,34,APS_Silent,Female,19,14,Student,76,70
  [300.0  500.0],2.081,3,          FZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,10,10,0.91,S10L10,179,31,APS_Silent,Female,19,13,Student,75,61
  [300.0  500.0],5.034,3,          FZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,12,12,0.96,S12L12,164,31,APS_Silent,Female,18,12,Student,68,57
  [300.0  500.0],3.247,3,          FZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,13,13,0.92,S13L1,211,25,APS_Silent,Female,19,13,Student,80,69
  [300.0  500.0],2.084,3,          FZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,14,14,0.9,L14L2,211,17,APS_Silent,Female,20,12,Student,82,81
  [300.0  500.0],1.151,3,          FZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,16,16,0.93,s16l4,211,37,APS_Silent,Male,18,12,Student,72,79
  [300.0  500.0],-0.39,3,          FZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,18,18,0.91,S18L6,195,34,APS_Silent,Male,19,12,Student,85,79
  [300.0  500.0],-1.111,3,          FZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,21,21,0.93,s21L9,137,15,APS_Silent,Male,18,12,Student,72,70
  [300.0  500.0],1.519,3,          FZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,22,22,0.91,s22l10,164,21,APS_Silent,Male,23,17,Student,77,98
  [300.0  500.0],0.209,3,          FZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,25,25,0.94,,,,,,,,Student,,
  [300.0  500.0],-4.85,3,          FZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,27,27,0.95,S27L3,247,33,APS_Silent,Female,18,12,Student,77,82
  [300.0  500.0],-1.111,3,          FZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,30,30,0.87,s30l6,339,32,APS_Silent,Male,20,15,Student,85,88
